,Abide EWYL23E0712,Abide EWYL23E0712_others,Abide EWYL23E0712_delay,active_chat,Abigail EWYL22E1215,Abigail EWYL22E1215_others,Abigail EWYL22E1215_delay,Adonai EWYL23E0947,Adonai EWYL23E0947_others,Adonai EWYL23E0947_delay,Albert EWYL23E0769,Albert EWYL23E0769_others,Albert EWYL23E0769_delay,Alexio EWYL23E0403,Alexio EWYL23E0403_others,Alexio EWYL23E0403_delay,Anesu EWYL22E0610,Anesu EWYL22E0610_others,Anesu EWYL22E0610_delay,Anesu EWYL23E0721,Anesu EWYL23E0721_others,Anesu EWYL23E0721_delay,Angel EWYL23E0669,Angel EWYL23E0669_others,Angel EWYL23E0669_delay,Ariel EWYL23E0815,Ariel EWYL23E0815_others,Ariel EWYL23E0815_delay,Ashley EWYL23E0735,Ashley EWYL23E0735_others,Ashley EWYL23E0735_delay,Blessing EWYL22E0849,Blessing EWYL22E0849_others,Blessing EWYL22E0849_delay,Bridget EWYL23E0746,Bridget EWYL23E0746_others,Bridget EWYL23E0746_delay,Charles EWYL23E0091,Charles EWYL23E0091_others,Charles EWYL23E0091_delay,Charmaine EWYL22E0631,Charmaine EWYL22E0631_others,Charmaine EWYL22E0631_delay,Christina EWYL23E0761,Christina EWYL23E0761_others,Christina EWYL23E0761_delay,Courage EWYL23E0272,Courage EWYL23E0272_others,Courage EWYL23E0272_delay,Creed EWYL22E0973,Creed EWYL22E0973_others,Creed EWYL22E0973_delay,David EWYL23E0797,David EWYL23E0797_others,David EWYL23E0797_delay,DELONY EWYL22E0888,DELONY EWYL22E0888_others,DELONY EWYL22E0888_delay,Denise EWYL22E0987,Denise EWYL22E0987_others,Denise EWYL22E0987_delay,Divine EWYL22E0498,Divine EWYL22E0498_others,Divine EWYL22E0498_delay,Emelda EWYL22E0399,Emelda EWYL22E0399_others,Emelda EWYL22E0399_delay,Emmanuel EWYL23E0501,Emmanuel EWYL23E0501_others,Emmanuel EWYL23E0501_delay,Ephinas EWYL23E0036 ,Ephinas EWYL23E0036 _others,Ephinas EWYL23E0036 _delay,Francine EWYL22E1258,Francine EWYL22E1258_others,Francine EWYL22E1258_delay,Fungai EWYL22E0706,Fungai EWYL22E0706_others,Fungai EWYL22E0706_delay,Kailler EWYL22E0916,Kailler EWYL22E0916_others,Kailler EWYL22E0916_delay,Katendi EWYL22E1283,Katendi EWYL22E1283_others,Katendi EWYL22E1283_delay,Kudzai EWYL23E0486,Kudzai EWYL23E0486_others,Kudzai EWYL23E0486_delay,Kudzai EWYL23E0871,Kudzai EWYL23E0871_others,Kudzai EWYL23E0871_delay,Leeroy EWYL23E0645 ,Leeroy EWYL23E0645 _others,Leeroy EWYL23E0645 _delay,Leeroy EWYL23E0813,Leeroy EWYL23E0813_others,Leeroy EWYL23E0813_delay,Lenny EWYL23E0895,Lenny EWYL23E0895_others,Lenny EWYL23E0895_delay,Lilian EWYL23E0714,Lilian EWYL23E0714_others,Lilian EWYL23E0714_delay,Lynn EWYL23E0577,Lynn EWYL23E0577_others,Lynn EWYL23E0577_delay,Makanakaishe EWYL23E0823,Makanakaishe EWYL23E0823_others,Makanakaishe EWYL23E0823_delay,Marshall EWYL20E0273,Marshall EWYL20E0273_others,Marshall EWYL20E0273_delay,McKrion EWYL23E0515,McKrion EWYL23E0515_others,McKrion EWYL23E0515_delay,Mwenya EWYL23E0902,Mwenya EWYL23E0902_others,Mwenya EWYL23E0902_delay,Natasha EWYL23E0372,Natasha EWYL23E0372_others,Natasha EWYL23E0372_delay,Nicassio EWYL22E0536,Nicassio EWYL22E0536_others,Nicassio EWYL22E0536_delay,Nigel EWYL23E0125,Nigel EWYL23E0125_others,Nigel EWYL23E0125_delay,Nkosilomusa EWYL22E0132,Nkosilomusa EWYL22E0132_others,Nkosilomusa EWYL22E0132_delay,Noah EWYL23E0307,Noah EWYL23E0307_others,Noah EWYL23E0307_delay,Nokutenda EWYL23E0186,Nokutenda EWYL23E0186_others,Nokutenda EWYL23E0186_delay,Nokuthaba EWYL23E0835,Nokuthaba EWYL23E0835_others,Nokuthaba EWYL23E0835_delay,Nyasha EWYL23E0116,Nyasha EWYL23E0116_others,Nyasha EWYL23E0116_delay,Paidaishe EWYL23E0231,Paidaishe EWYL23E0231_others,Paidaishe EWYL23E0231_delay,Panashe EWYL22E0468,Panashe EWYL22E0468_others,Panashe EWYL22E0468_delay,Patience EWYL23E0085,Patience EWYL23E0085_others,Patience EWYL23E0085_delay,Patience EWYL23E0394,Patience EWYL23E0394_others,Patience EWYL23E0394_delay,Precious EWYL23E0757,Precious EWYL23E0757_others,Precious EWYL23E0757_delay,Promise EWYL23E0200,Promise EWYL23E0200_others,Promise EWYL23E0200_delay,Rudorwashe EWYL23E0128,Rudorwashe EWYL23E0128_others,Rudorwashe EWYL23E0128_delay,Rufaro EWYL23E0138,Rufaro EWYL23E0138_others,Rufaro EWYL23E0138_delay,Rumbidzai EWYL22E0883,Rumbidzai EWYL22E0883_others,Rumbidzai EWYL22E0883_delay,RUTH EWYL23E0072,RUTH EWYL23E0072_others,RUTH EWYL23E0072_delay,Samantha EWYL23E0306,Samantha EWYL23E0306_others,Samantha EWYL23E0306_delay,Samantha EWYL23E0324,Samantha EWYL23E0324_others,Samantha EWYL23E0324_delay,Shekinah EWYL22E0169,Shekinah EWYL22E0169_others,Shekinah EWYL22E0169_delay,Shumba EWYL23E0745,Shumba EWYL23E0745_others,Shumba EWYL23E0745_delay,Stanslous EWYL23E0653,Stanslous EWYL23E0653_others,Stanslous EWYL23E0653_delay,Tadiwa EWYL22E0603,Tadiwa EWYL22E0603_others,Tadiwa EWYL22E0603_delay,Tadiwanashe EWYL22E0534,Tadiwanashe EWYL22E0534_others,Tadiwanashe EWYL22E0534_delay,TAKUNDA EWYL23E0058,TAKUNDA EWYL23E0058_others,TAKUNDA EWYL23E0058_delay,TANAKA EWYL22E1052,TANAKA EWYL22E1052_others,TANAKA EWYL22E1052_delay,Tanaka EWYL23E0370,Tanaka EWYL23E0370_others,Tanaka EWYL23E0370_delay,Taonga EWYL22E1068,Taonga EWYL22E1068_others,Taonga EWYL22E1068_delay,Tashinga EWYL23E0794,Tashinga EWYL23E0794_others,Tashinga EWYL23E0794_delay,Tatenda EWYL22E0429,Tatenda EWYL22E0429_others,Tatenda EWYL22E0429_delay,Tatenda EWYL23E0355,Tatenda EWYL23E0355_others,Tatenda EWYL23E0355_delay,Tawanda EWYL22E0652,Tawanda EWYL22E0652_others,Tawanda EWYL22E0652_delay,Tecla EWYL22E0095,Tecla EWYL22E0095_others,Tecla EWYL22E0095_delay,Tinashe EWYL22E0903,Tinashe EWYL22E0903_others,Tinashe EWYL22E0903_delay,Tinevimbo EWYL22E0458,Tinevimbo EWYL22E0458_others,Tinevimbo EWYL22E0458_delay,Vinah EWYL22E0844,Vinah EWYL22E0844_others,Vinah EWYL22E0844_delay,Yvonne EWYL23E0022,Yvonne EWYL23E0022_others,Yvonne EWYL23E0022_delay,Zolani EWYL22E1263,Zolani EWYL22E1263_others,Zolani EWYL22E1263_delay
12:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:01 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:02 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:03 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:04 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:05 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:06 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:08 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:09 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
